,GSE259348_DMED
MTHFR,257
CLCN6,90
NPPA-AS1,1
NPPA,4
NPPB,0
KIAA2013,130
PLOD1,97
MFN2,94
MIIP,69
TNFRSF8,0
TNFRSF1B,23
VPS13D,955
RP5-888M10.2,0
DHRS3,256
RP11-474O21.5,3
AADACL4,0
AADACL3,0
C1orf158,2
PRAMEF12,0
PRAMEF1,0
RP5-845O24.8,0
PRAMEF11,0
HNRNPCL1,0
PRAMEF2,0
PRAMEF4,0
PRAMEF10,0
PRAMEF7,0
PRAMEF6,0
PRAMEF27,0
PRAMEF26,0
PRAMEF25,0
HNRNPCL3,0
HNRNPCL2,0
RP13-221M14.2,0
HNRNPCL4,0
PRAMEF9,0
PRAMEF18,0
PRAMEF5,0
PRAMEF8,0
PRAMEF15,0
RP11-219C24.10,0
PRAMEF14,0
PRAMEF19,0
PRAMEF17,0
PRAMEF20,0
LRRC38,1
RP4-597A16.2,0
PDPN,6
CTA-520D8.2,0
PRDM2,518
RP11-344F13.1,0
RP4-704D23.1,0
KAZN,298
TMEM51-AS1,48
TMEM51,285
C1orf195,7
FHAD1,74
RP3-467K16.2,10
RP3-467K16.7,0
RP3-467K16.4,0
EFHD2,54
CTRC,0
CELA2A,0
CELA2B,3
CASP9,46
DNAJC16,115
RP4-680D5.8,1
AGMAT,2
RP4-680D5.2,0
DDI2,108
RSC1A1,0
RP4-680D5.9,0
PLEKHM2,220
RP11-288I21.1,2
SLC25A34,11
RP11-169K16.4,1
TMEM82,2
FBLIM1,316
UQCRHL,15
FLJ37453,93
SPEN,637
ZBTB17,73
C1orf64,1
RP11-5P18.5,0
HSPB7,236
CLCNKA,0
CLCNKB,2
FAM131C,26
EPHA2,79
RP11-276H7.2,1
RP11-276H7.3,8
ARHGEF19-AS1,0
ARHGEF19,18
RSG1,7
FBXO42,224
SZRD1,262
SPATA21,14
NECAP2,98
RP4-798A10.2,5
RP4-798A10.7,7
RP4-798A10.4,0
RP5-875O13.1,0
FAM231C,0
NBPF1,63
RP5-1182A14.5,0
RP1-163M9.8,0
FAM231A,0
RP1-163M9.7,0
FAM231C-1,0
RP5-1182A14.7,0
CROCC,133
RP11-108M9.1,0
RP11-108M9.2,0
RP11-108M9.3,2
RP11-108M9.4,25
RP11-108M9.6,10
MFAP2,17
RP1-37C10.3,4
ATP13A2,23
SDHB,351
PADI2,4
RP11-380J14.1,0
RP11-380J14.4,0
PADI1,0
PADI3,0
PADI4,1
AC004824.2,0
PADI6,0
RP1-20B21.4,0
RCC2,53
ARHGEF10L,352
RP11-473A10.2,0
ACTL8,0
RP11-174G17.2,0
IGSF21,44
RP11-174G17,1
RP11-422P22.1,0
KLHDC7A,0
PAX7,1
TAS1R2,0
RP13-279N23.2,0
ALDH4A1,38
IFFO2,125
UBR4,313
RP1-43E13.2,119
EMC1,71
MRTO4,100
AKR7A3,0
AKR7A2,326
PQLC2,28
CAPZB,1103
RP5-1056L3.1,0
MINOS1,671
MINOS1-NBL1,1
NBL1,926
HTR6,1
TMCO4,146
RNF186,0
RP11-91K11.2,1
OTUD3,77
PLA2G2E,0
PLA2G2A,607
PLA2G5,522
PLA2G2D,0
PLA2G2F,1
RP3-340N1.2,0
PLA2G2C,0
UBXN10-AS1,26
UBXN10,7
RP3-340N1.6,0
VWA5B1,2
RP4-745E8.2,0
LINC01141,5
RP4-749H3.2,0
CAMK2N1,1826
MUL1,47
FAM43B,0
CDA,7
PINK1,230
PINK1-AS,17
DDOST,252
KIF17,15
SH2D5,0
RP5-930J4.2,0
HP1BP3,1100
EIF4G3,862
ECE1,494
RP3-329E20.2,0
RP5-1071N3.1,4
RP11-293F5.1,0
NBPF3,29
ALPL,0
RP11-63N8.3,0
RAP1GAP,3
USP48,330
LDLRAD2,21
HSPG2,663
CELA3B,1
CELA3A,0
RP1-224A6.3,0
LINC00339,15
CDC42,1467
RP1-224A6.9,0
WNT4,0
ZBTB40,83
EPHA8,0
C1QA,86
C1QC,24
C1QB,61
EPHB2,7
RP11-69E9.1,0
LACTBL1,0
C1orf234,0
KDM1A,174
RP1-184J9.2,42
LUZP1,410
HTR1D,0
LINC01355,16
HNRNPR,885
ZNF436,24
ZNF436-AS1,25
RP5-1057J7.7,0
TCEA3,182
ASAP3,32
E2F2,1
RP1-150O5.3,0
ID3,1090
MDS2,10
RPL11,12079
TCEB3,111
TCEB3-AS1,46
PITHD1,322
LYPLA2,54
GALE,15
HMGCL,129
FUCA1,108
CNR2,2
RP11-4M23.3,0
PNRC2,629
SRSF10,765
RP11-293P20.2,0
MYOM3,1
RP11-293P20.4,0
IL22RA1,0
IFNLR1,8
RP11-10N16.2,0
RP11-10N16.3,0
GRHL3,1
STPG1,38
NIPAL3,43
RCAN3,64
RP4-594I10.3,13
NCMAP,1
SRRM1,1286
CLIC4,1782
RUNX3,9
RP11-84D1.1,0
RP11-84D1.2,0
RP4-799D16.1,1
RP4-706G24.1,0
SYF2,913
RSRP1,1204
RP3-465N24.6,1
RHD,27
TMEM50A,795
RHCE,11
TMEM57,216
LDLRAP1,28
RP11-70P17.1,8
MAN1C1,77
RP1-187B23.1,1
SEPN1,101
RP1-317E23.6,0
RP1-317E23.3,10
MTFR1L,138
RP1-317E23.7,0
AUNIP,3
RP1-125I3.2,5
PAQR7,14
STMN1,231
PAFAH2,27
EXTL1,0
SLC30A2,0
TRIM63,0
PDIK1L,23
FAM110D,3
RP11-96L14.8,0
RP11-96L14.7,0
ZNF593,98
CNKSR1,5
CATSPER4,0
CEP85,13
SH3BGRL3,691
UBXN11,32
CD52,7
AIM1L,0
ZNF683,0
LIN28A,1
DHDDS,99
RP3-476K8.3,9
HMGN2,1305
RPS6KA1,2
RP5-968P14.2,1
ARID1A,373
PIGV,24
ZDHHC18,42
SFN,0
GPN2,56
RP1-50O24.6,0
GPATCH3,31
NUDC,846
NR0B2,0
KDF1,0
TRNP1,226
FAM46B,127
AL137860.1,0
SLC9A1,214
RP11-40H20.4,1
WDTC1,123
TMEM222,132
SYTL1,12
MAP3K6,66
FCN3,2
CD164L2,0
GPR3,0
WASF2,1288
RP4-752I6.1,3
RP1-159A19.4,7
AHDC1,247
FGR,2
RP11-288L9.1,0
IFI6,266
RP11-288L9.4,0
FAM76A,168
STX12,505
PPP1R8,87
AL109927.1,0
THEMIS2,4
RPA2,140
SMPDL3B,0
RP11-460I13.2,1
XKR8,15
EYA3,169
PTAFR,2
DNAJC8,897
ATPIF1,990
RP5-1092A3.4,2
RP5-1092A3.5,0
SESN2,148
MED18,29
PHACTR4,532
RCC1,207
TRNAU1AP,194
SNHG12,202
TAF12,134
RAB42,13
RP11-442N24__B.1,8
RNU11,15
GMEB1,84
YTHDF2,245
OPRD1,2
RP1-212P9.3,0
EPB41,181
TMEM200B,57
RP11-242O24.3,3
SRSF4,796
MECR,88
RP11-467D18.2,0
PTPRU,19
RP3-437I16.1,1
RP4-656G21.1,0
RP11-111I12.1,0
RP5-893G23.1,0
RP4-591L5.1,0
RP4-591L5.2,0
MATN1,6
MATN1-AS1,5
LAPTM5,12
RP5-1125N11.1,0
RP5-1125N11.2,1
RP1-65J11.5,0
SDC3,52
PUM1,650
NKAIN1,3
SNRNP40,160
ZCCHC17,299
RP11-266K22.2,11
FABP3,102
SERINC2,6
LINC01226,0
RP11-73M7.1,0
TINAGL1,2105
HCRTR1,3
PEF1,184
RP11-73M7.6,3
RP11-73M7.9,0
COL16A1,175
ADGRB2,8
RP11-84A19.3,0
SPOCD1,1
RP11-84A19.2,0
RP11-84A19.4,3
PTP4A2,493
RP4-534N18.2,0
KHDRBS1,918
RP11-277A4.4,20
TMEM39B,67
KPNA6,325
TXLNA,217
CCDC28B,44
RP4-622L5.7,2
IQCC,12
DCDC2B,2
TMEM234,31
EIF3I,565
FAM167B,5
LCK,2
HDAC1,217
MARCKSL1,108
RP4-811H24.9,0
TSSK3,6
FAM229A,14
BSDC1,166
RP1-27O5.3,6
ZBTB8B,0
ZBTB8A,61
ZBTB8OS,270
RBBP4,389
SYNC,177
RP11-114B7.6,0
KIAA1522,24
YARS,126
S100PBP,241
FNDC5,18
HPCA,1
TMEM54,116
RNF19B,138
RP1-117O3.2,22
AK2,170
AZIN2,34
TRIM62,49
ZNF362,119
RP11-415J8.7,0
A3GALT2,1
RP11-415J8.3,48
PHC2,504
RP11-415J8.5,8
ZSCAN20,10
CSMD2,2
HMGB4,0
CSMD2-AS1,0
C1orf94,0
SMIM12,332
GJB5,0
GJB4,0
RP1-34M23.5,0
GJB3,0
GJA4,799
RP5-997D16.2,0
DLGAP3,3
RP11-244H3.4,2
ZMYM6NB,0
ZMYM6,49
ZMYM1,127
SFPQ,1288
ZMYM4,515
ZMYM4-AS1,30
KIAA0319L,231
NCDN,30
RP4-728D4.2,0
TFAP2E,8
PSMB2,388
C1orf216,39
CLSPN,15
RP11-435D7.3,0
AGO4,175
AGO1,92
RP4-789D17.5,0
AGO3,590
RP4-665N4.8,26
TEKT2,1
ADPRHL2,93
COL8A2,41
TRAPPC3,196
MAP7D1,160
THRAP3,902
SH3D21,13
EVA1B,306
RP11-268J15.5,8
STK40,145
LSM10,132
OSCP1,36
MRPS15,287
CSF3R,7
RP4-614N24.1,0
GRIK3,0
RP5-1180C18.1,0
LINC01137,12
ZC3H12A,56
MEAF6,344
SNIP1,119
DNALI1,43
GNL2,99
RSPO1,8
C1orf109,36
CDCA8,5
EPHA10,0
MANEAL,10
RP11-109P14.9,0
YRDC,47
C1orf122,433
MTF1,76
INPP5B,170
RP11-109P14.10,4
SF3A3,258
FHL3,160
UTP11L,168
POU3F1,50
RP5-884C9.2,0
LINC01343,0
RP11-329N22.1,0
RRAGC,126
RP5-864K19.4,66
MYCBP,73
RP5-864K19.6,1
GJA9,0
RHBDL2,9
AKIRIN1,258
NDUFS5,1533
MACF1,1892
RP11-420K8.1,8
BMP8A,1
RP11-69E11.4,40
PABPC4,297
RP11-69E11.8,3
HEYL,281
RP1-144F13.3,0
NT5C1A,1
HPCAL4,3
PPIE,240
BMP8B,3
OXCT2,8
RP1-118J21.25,1
TRIT1,69
MYCL,0
RP1-118J21.5,0
MFSD2A,3
CAP1,869
PPT1,236
RLF,525
TMCO2,4
RP1-39G22.7,43
ZMPSTE24,132
COL9A2,3
SMAP2,386
ZFP69B,4
ZFP69,11
RP11-656D10.3,36
EXO5,8
RP11-656D10.5,0
RP11-656D10.6,0
ZNF684,58
RIMS3,74
RP4-739H11.3,2
NFYC-AS1,11
NFYC,179
KCNQ4,68
CITED4,186
RP5-1066H13.4,1
CTPS1,132
SLFNL1-AS1,28
SLFNL1,25
SCMH1,822
RP11-399E6.1,15
FOXO6,18
RP11-399E6.4,1
EDN2,0
HIVEP3,329
RP11-486B10.3,0
GUCA2B,0
GUCA2A,0
FOXJ3,386
RIMKLA,5
ZMYND12,3
PPCS,237
CCDC30,119
PPIH,157
RP5-994D16.3,0
YBX1,4049
CLDN19,0
P3H1,61
C1orf50,66
RP5-994D16.9,0
RP5-994D16.11,0
SVBP,221
ERMAP,36
RP11-342M1.3,4
ZNF691,11
SLC2A1,41
SLC2A1-AS1,8
FAM183A,0
EBNA1BP2,252
CFAP57,2
TMEM125,0
C1orf210,0
TIE1,4
MPL,0
RP1-92O14.3,10
CDC20,5
ELOVL1,93
MED8,97
RP1-92O14.6,0
SZT2,89
SZT2-AS1,0
HYI,359
HYI-AS1,3
PTPRF,129
KDM4A,86
KDM4A-AS1,15
ST3GAL3,316
RP11-184I16.4,3
ARTN,36
RP11-7O11.3,4
IPO13,34
DPH2,22
ATP6V0B,366
B4GALT2,61
CCDC24,27
SLC6A9,60
RP5-1198O20.4,36
KLF17,0
KLF18,0
DMAP1,82
ERI3,269
RNF220,101
TMEM53,53
C1orf228,10
KIF2C,5
RP11-269F19.2,8
RPS8,19251
BEST4,1
PLK3,110
TCTEX1D4,4
BTBD19,44
PTCH2,105
EIF2B3,254
HECTD3,43
UROD,171
ZSWIM5,109
LINC01144,3
HPDL,5
MUTYH,59
TOE1,34
TESK2,206
CCDC163P,4
MMACHC,14
PRDX1,1992
AKR1A1,251
NASP,905
CCDC17,2
GPBP1L1,363
TMEM69,66
IPP,100
MAST2,137
PIK3R3,69
PIK3R3-1,2
RP4-533D7.4,0
RP4-533D7.5,2
TSPAN1,9
RP11-322N21.2,0
POMGNT1,82
LURAP1,57
RAD54L,3
LRRC41,201
UQCRH,1435
NSUN4,77
FAAH,20
DMBX1,0
RP11-49P4.7,0
MKNK1-AS1,3
KNCN,0
MKNK1,149
MOB3C,33
ATPAF1,189
TEX38,0
EFCAB14-AS1,2
EFCAB14,365
CYP4B1,3
CYP4A11,9
CYP4X1,194
CYP4Z1,12
CYP4A22-AS1,8
CYP4A22,0
LINC00853,5
PDZK1IP1,1
TAL1,0
RP1-18D14.7,0
STIL,7
CMPK1,528
LINC01389,11
FOXE3,0
FOXD2-AS1,12
FOXD2,88
RP11-543D5.1,0
TRABD2B,403
RP11-543D5.2,0
RP11-330M19.1,2
RP4-683M8.2,4
RP11-193P11.3,0
AL356289.1,0
RP5-1024N4.2,14
SLC5A9,1
RP5-1024N4.4,0
SPATA6,346
AGBL4,10
BEND5,48
RP11-141A19.1,0
RP11-141A19.2,0
ELAVL4,0
RP11-567C20.2,0
RP11-567C20.3,0
DMRTA2,0
FAF1,1057
RP5-850O15.3,8
CDKN2C,182
C1orf185,4
LINC01562,5
RNF11,302
RP11-296A18.6,0
TTC39A,2
TTC39A-AS1,0
EPS15,800
RP11-253A20.1,1
RP11-191G24.1,6
OSBPL9,891
NRDC,533
RP4-657D16.3,5
RP4-657D16.6,1
RAB3B,0
TXNDC12,168
KTI12,39
RP11-91A18.4,6
TXNDC12-AS1,0
BTF3L4,308
ZFYVE9,337
CC2D1B,53
RP11-155O18.6,0
ORC1,3
PRPF38A,191
ZCCHC11,648
RP11-25O10.2,0
GPX7,52
FAM159A,5
COA7,24
ZYG11B,279
ZYG11A,3
RP4-631H13.2,0
ECHDC2,591
SCP2,612
AL445183.1,0
PODN,222
RP11-334A14.5,1
SLC1A7,2
RP11-334A14.8,0
CPT2,60
RP5-1024G6.2,8
C1orf123,456
RP5-1024G6.7,2
MAGOH,343
RP5-1024G6.5,2
LRP8,11
RP4-784A16.1,0
RP4-784A16.2,0
RP4-784A16.4,0
RP4-784A16.5,0
RP11-117D22.1,0
RP11-117D22.2,0
DMRTB1,0
GLIS1,42
NDC1,54
YIPF1,51
DIO1,3
HSPB11,321
LRRC42,62
LDLRAD1,0
TMEM59,1290
TCEANC2,38
CDCP2,0
RP11-446E24.4,13
CYB5RL,8
MRPL37,88
SSBP3,335
SSBP3-AS1,0
RP5-997D24.3,0
RP4-705F19.1,0
RP5-866L20.1,0
ACOT11,89
FAM151A,3
MROH7,5
MROH7-TTC4,6
TTC4,18
PARS2,9
TTC22,0
RP11-67L3.2,0
LEXM,0
DHCR24,16
RP11-67L3.5,0
RP11-67L3.4,0
TMEM61,7
RP11-12C17.2,0
BSND,0
PCSK9,0
USP24,300
RP11-101C11.1,0
RP11-90C4.1,47
RP11-90C4.2,0
RP11-90C4.3,0
RP1-158P9.1,0
RP11-504A18.1,7
RP4-710M16.2,0
PLPP3,2070
PRKAA2,233
C1orf168,0
RP11-378I13.1,0
C8A,0
C8B,1
RP5-1103B4.3,0
DAB1,188
RP6-102O10.1,0
DAB1-AS1,0
RP11-393I23.4,0
OMA1,59
TACSTD2,0
MYSM1,228
JUN,12995
LINC01135,29
RP11-63G10.3,0
RP11-63G10.2,0
RP4-794H19.1,6
LINC01358,23
RP11-145M4.1,0
RP11-145M4.2,2
RP11-467C18.1,3
FGGY,239
RP4-782L23.2,7
HOOK1,10
CYP2J2,0
C1orf87,3
RP11-575B7.3,0
RP11-776H12.1,0
RP11-436K8.1,0
NFIA,2204
NFIA-AS2,0
TM2D1,389
RP11-430G17.3,14
INADL,441
L1TD1,5
KANK4,70
USP1,231
DOCK7,385
ANGPTL3,0
RP11-230B22.1,5
ATG4C,82
RP4-771M4.3,0
RP11-5P4.1,0
RP11-5P4.2,0
RP11-5P4.3,0
RP11-335E6.2,0
RP11-335E6.3,0
FOXD3-AS1,0
FOXD3,1
ALG6,38
ITGB3BP,247
EFCAB7,88
PGM1,160
ROR1,676
ROR1-AS1,16
UBE2U,1
CACHD1,176
RAVER2,79
JAK1,1194
RP4-535B20.4,1
RP4-535B20.1,1
AK4,89
DNAJC6,71
RP5-1044H5.1,17
LEPROT,1162
LEPR,155
PDE4B,98
RP11-397C12.1,0
SGIP1,289
RP4-598P13.1,3
TCTEX1D1,4
INSL5,0
WDR78,151
RP11-342H21.2,0
MIER1,852
SLC35D1,192
C1orf141,0
IL23R,0
IL12RB2,12
SERBP1,1253
RP11-393N21.2,0
GADD45A,707
GNG12,614
GNG12-AS1,109
DIRAS3,18
WLS,365
RPE65,1
DEPDC1,2
RP4-694A7.2,0
DEPDC1-AS1,0
RP11-424D14.1,0
RP11-74K19.1,0
RP3-380B4.1,0
LRRC7,26
RP11-181B18.1,0
LRRC40,129
SRSF11,1144
RP4-677H15.4,1
ANKRD13C,299
HHLA3,59
RP11-180O5.2,0
AL158839.1,0
CTH,54
RP11-42O15.3,0
RP5-952N6.1,3
RP11-99H8.1,0
PTGER3,100
RP3-333A15.1,0
ZRANB2-AS1,2
ZRANB2,1089
NEGR1,325
RP11-82L20.1,2
RP4-660H19.1,3
RP11-262K1.1,0
LINC01360,0
RP4-788P17.1,0
LRRIQ3,3
FPGT,19
FPGT-TNNI3K,12
TNNI3K,1
RP11-439H8.4,5
RP4-650F12.2,2
LRRC53,2
ERICH3,3
ERICH3-AS1,0
RP11-17E13.2,4
CRYZ,114
TYW3,310
RP11-93N20.1,0
RP11-510C10.4,0
RP11-510C10.2,0
LHX8,0
RP11-510C10.3,0
SLC44A5,3
RP4-682C21.5,0
ACADM,232
RABGGTB,118
MSH4,16
ASB17,1
RP11-550H2.1,5
RP11-550H2.2,0
ST6GALNAC3,62
RP5-1102E8.3,0
RP11-415A20.1,0
ST6GALNAC5,2
RP4-564M11.2,0
PIGK,202
AK5,105
RP11-375A5.1,1
ZZZ3,367
USP33,505
FAM73A,344
NEXN-AS1,23
NEXN,3025
FUBP1,482
DNAJB4,889
GIPC2,394
RP11-386I14.4,17
PTGFR,2
IFI44L,23
IFI44,49
ADGRL4,13
RP4-726F1.1,0
RP4-726F1.2,0
RP11-339A11.2,0
RP11-339D23.1,0
RP5-933B4.1,0
RP5-887A10.1,0
ADGRL2,922
RP5-837I24.2,0
RP5-837I24.4,4
RP11-147G16.1,0
LINC01362,4
LINC01361,0
RP11-413G15.1,0
RP11-475O6.1,78
RP5-836J3.1,0
TTLL7,1097
RP11-486G15.2,27
PRKACB,490
SAMD13,16
DNASE2B,0
RPF1,140
GNG5,896
CTBS,134
LINC01555,0
SSX2IP,58
LPAR3,11
MCOLN2,5
WDR63,11
MCOLN3,0
SYDE2,87
C1orf52,203
BCL10,103
RP11-131L23.1,34
DDAH1,146
RP11-131L23.2,0
RP4-621F18.2,33
RP11-290M5.4,1
CYR61,1738
RP11-290M5.2,1
ZNHIT6,235
COL24A1,11
ODF2L,179
CLCA2,0
CLCA1,0
CLCA4,0
RP4-651E10.4,1
RP4-612B15.3,3
SH3GLB1,497
SEP15,448
HS2ST1,159
RP4-604K5.3,2
RP5-1052I5.2,0
LINC01140,2
LMO4,1128
LINC01364,2
RP5-1027O11.1,0
PKN2-AS1,7
PKN2,741
GTF2B,541
CCBL2,152
RBMXL1,101
GBP3,62
GBP1,130
GBP2,498
GBP7,0
GBP4,57
GBP5,0
RP4-620F22.2,0
GBP6,0
LRRC8B,122
FLJ27354,66
LRRC8C,58
RP11-302M6.4,4
RP5-943J3.2,0
LRRC8D,9
RP11-302M6.5,0
ZNF326,391
RP5-827O9.1,0
BARHL2,0
RP4-665J23.1,41
RP4-665J23.2,0
RP4-665J23.4,0
ZNF644,747
HFM1,59
CDC7,34
TGFBR3,390
BRDT,0
EPHX4,1
SETSIP,0
BTBD8,28
KIAA1107,60
RP4-621B10.8,2
C1orf146,2
GLMN,132
RPAP2,386
GFI1,0
EVI5,679
RPL5,11443
FAM69A,312
MTF2,220
TMED5,400
CCDC18,89
DR1,169
FNBP1L,217
BCAR3,294
RP5-1033H22.2,4
RP4-561L24.3,3
DNTTIP2,342
GCLM,70
ABCA4,3
RP11-78O9.1,0
ARHGAP29,1431
RP11-148B18.1,5
RP11-148B18.4,1
ABCD3,189
F3,26
RP11-86H7.6,0
SLC44A3,47
CNN3,1631
RP4-639F20.1,112
ALG14,132
RP11-313A24.1,2
TMEM56,76
TMEM56-RWDD3,8
RP11-57H12.3,40
RWDD3,14
RP11-57H12.5,1
RP4-586O15.1,0
RP11-14O19.1,0
RP11-14O19.2,0
FLJ31662,0
RP11-286B14.1,6
RP11-286B14.2,0
RP11-147C23.1,0
RP5-898J17.1,0
PTBP2,980
DPYD,1481
DPYD-AS1,81
DPYD-AS2,1
RP11-272L13.3,0
RP11-490G2.2,0
MIR137HG,0
RP5-1070A16.1,0
SNX7,303
PLPPR5,0
RP5-896L10.1,1
PLPPR4,48
RP11-413P11.1,1
PALMD,44
FRRS1,6
AGL,252
RP5-884G6.2,2
SLC35A3,149
MFSD14A,288
RP4-714D9.2,17
SASS6,54
TRMT13,116
LRRC39,27
DBT,113
RTCA-AS1,16
RTCA,88
RP5-837M10.2,0
CDC14A,162
RP5-837M10.4,2
GPR88,10
LINC01349,1
VCAM1,228
EXTL2,176
RP4-549L20.3,22
SLC30A7,171
DPH5,76
RP11-421L21.2,0
RP11-421L21.3,19
RP4-575N6.4,0
S1PR1,2
LINC01307,0
RP11-411H5.1,1
OLFM3,3
RP11-202K23.1,0
RP5-936J12.1,0
COL11A1,3
RP11-153F1.2,0
RP11-153F1.1,22
RNPC3,320
AMY2B,52
AMY2A,0
AMY1A,0
AMY1B,0
AMY1C,0
RP11-251P6.1,2
RP11-24P14.1,0
RP5-947P14.1,0
RP11-233E12.1,0
PRMT6,15
NTNG1,6
VAV3,5
VAV3-AS1,0
RP11-356N1.2,0
SLC25A24,249
RP11-483I13.5,6
NBPF4,0
RP11-483I13.2,0
NBPF6,0
RP11-131J3.1,0
FAM102B,83
HENMT1,10
PRPF38B,374
FNDC7,0
RP11-293A10.3,0
STXBP3,289
AKNAD1,6
RP11-475E11.9,69
SPATA42,0
GPSM2,137
CLCC1,81
WDR47,249
TAF13,114
RP5-1065J22.8,16
TMEM167B,128
SCARNA2,1
C1orf194,1
KIAA1324,2
SARS,508
CELSR2,33
PSRC1,35
MYBPHL,15
SORT1,1634
PSMA5,354
SYPL2,52
ATXN7L2,14
CYB561D1,21
AMIGO1,14
GPR61,0
RP5-1160K1.8,0
GNAI3,428
GNAT2,0
AMPD2,47
RP5-1160K1.6,0
GSTM4,139
GSTM2,91
GSTM1,25
AC000032.2,1
GSTM5,188
RP4-735C1.4,0
GSTM3,847
EPS8L3,0
