program_id	program_label	program_family	source_status	gene_symbols	rationale	n_genes
tgfb_wnt_hippo	TGF-beta, Wnt, and Hippo signaling	mechanotransduction	curated_analysis_set	TGFB1,TGFB2,TGFB3,TGFBR1,TGFBR2,SMAD2,SMAD3,SMAD4,SMAD7,CTGF,CYR61,ANKRD1,TEAD1,TEAD2,TEAD3,TEAD4,YAP1,WWTR1,WNT2,WNT5A,WNT5B,WNT10B,FZD1,FZD2,FZD7,LRP5,LRP6,AXIN2,DKK1,GREM1,WISP2,NOTCH1,NOTCH3,JAG1,DLL4	Tracks pathways emphasized by the original corpus cavernosum atlas and commonly implicated in fibrotic/mechanical remodeling.	35
diabetes_age_metabolic	Diabetes/AGE and metabolic remodeling	metabolism	curated_analysis_set	AGER,DDIT3,TXNIP,AKR1C1,AKR1C2,AKR1C3,ALDH1A1,ALDH1A2,PDK4,SLC2A1,SLC2A3,INSR,IGF1,IGF1R,IRS1,IRS2,FOXO1,PPARG,AREG,ERAP2,FILIP1L	Exploratory set for diabetic ED biology, AGE signaling, insulin/IGF context, and diabetes-skewed candidates observed in this project.	21
hallmark_hypoxia	Hallmark hypoxia	metabolism	MSigDB_Hallmark_2020_via_Enrichr	WSB1,JMJD6,XPNPEP1,RRAGD,PPP1R3C,MT1E,TES,ATF3,SERPINE1,GLRX,UGP2,NOCT,MXI1,DPYSL4,CCN5,CCN2,PPARGC1A,CCN1,DTNA,SIAH2,MIF,PRKCA,EXT1,FOSL2,SLC6A6,SULT2B1,BCAN,LALBA,CHST2,SDC2,HOXB9,CHST3,LXN,NEDD4L,PDGFB,ENO1,ENO2,ENO3,RBPJ,MT2A,PLAC8,PRDX5,HMOX1,PDK1,IER3,PDK3,EDN2,ANXA2,JUN,DUSP1,TPI1,AMPD3,CP,VEGFA,P4HA1,P4HA2,BHLHE40,CCNG2,PAM,ALDOC,ALDOB,ALDOA,GPI,BTG1,CITED2,SDC3,SDC4,STC1,ADM,STC2,VLDLR,BRS3,LDHC,LDHA,CSRP2,IDS,NFIL3,PCK1,TPD52,PKLR,PGAM2,GAA,FOS,BGN,F3,TPST2,ANGPTL4,PLIN2,INHA,ERRFI1,SRPX,CDKN1B,CDKN1C,ERO1A,HEXA,CDKN1A,NCAN,GBE1,GCNT2,PYGM,GYS1,NDST2,NDST1,AKAP12,STBD1,CXCR4,CA12,HS3ST1,MAP3K1,TGFB3,CAVIN1,CAVIN3,KLHL24,PNRC1,SAP30,GCK,ILVBL,COL5A1,TGFBI,GAPDHS,S100A4,PKP1,PPP1R15A,HDLBP,EGFR,FOXO3,NDRG1,KIF5A,ZFP36,GPC1,HAS1,GPC4,GPC3,PPFIA4,IGFBP1,BNIP3L,IGFBP3,B3GALT6,PGF,MAFF,EFNA1,ISG20,EFNA3,LOX,PFKFB3,IRS2,SLC2A1,AK4,SLC2A3,SLC2A5,ETS1,RORA,TGM2,FAM162A,PIM1,ANKZF1,TIPARP,HSPA5,CAV1,GALK1,GRHPR,IL6,ADORA2B,MYH9,BCL2,FBP1,TMEM45A,SLC25A1,TNFAIP3,HK1,HK2,CASP6,PGK1,B4GALNT2,SLC37A4,TKTL1,TPBG,PLAUR,DCN,SELENBP1,KLF7,NAGK,KLF6,PFKL,DDIT4,DDIT3,ACKR3,KDELR3,GAPDH,PFKP,KDM3A,ZNF292,NR3C1,PHKG1,VHL,ATP7A,PGM2,SCARB1,LARGE1,PGM1	Established MSigDB Hallmark gene set: Hypoxia.	200
hallmark_ros	Hallmark reactive oxygen species pathway	metabolism	MSigDB_Hallmark_2020_via_Enrichr	GPX3,G6PD,GSR,GPX4,TXNRD2,TXNRD1,FES,SELENOS,NDUFS2,ABCC1,NDUFB4,MPO,GLRX,PDLIM1,PTPA,SBNO2,EGLN2,NQO1,CDKN2D,NDUFA6,PRNP,GLRX2,OXSR1,IPCEF1,SOD1,ATOX1,SCAF4,SOD2,MSRA,GCLC,CAT,STK25,ERCC2,FTL,LAMTOR5,GCLM,PFKP,SRXN1,LSP1,TXN,MGST1,PRDX4,PRDX6,HHEX,PRDX2,PRDX1,HMOX2,MBP,JUNB	Established MSigDB Hallmark gene set: Reactive Oxygen Species Pathway.	49
hypoxia_oxidative_metabolism	Hypoxia, oxidative stress, and metabolic shift	metabolism	curated_analysis_set	HIF1A,EPAS1,VEGFA,SLC2A1,SLC2A3,LDHA,PDK1,PDK4,ENO1,CA9,CA12,NDUFA4L2,BNIP3,ADM,HMOX1,SOD1,SOD2,GPX3,NOX4,CYBB,NFE2L2,TXNIP	Connects vascular dysfunction, hypoxia-like states, oxidative stress, and metabolic remodeling.	22
ecm_fibrosis	ECM and fibrosis	remodeling	curated_analysis_set	COL1A1,COL1A2,COL3A1,COL4A1,COL4A2,COL4A5,COL4A6,COL5A1,COL5A2,COL6A1,COL6A2,COL6A3,FN1,POSTN,SPARC,CTGF,COMP,THBS1,THBS2,THBS4,DCN,LUM,OGN,PRELP,MFAP4,MFAP5,FBLN1,FBLN2,FBLN5,TIMP1,TIMP2,TIMP3,MMP2,MMP14,LOX,LOXL1,LOXL2,ADAMTS1,ADAMTS2,ADAMTS4,ADAMTS5	Captures extracellular-matrix production, remodeling, and fibrosis-relevant stromal matrix genes.	41
hallmark_emt_ecm	Hallmark epithelial-mesenchymal/ECM remodeling	remodeling	MSigDB_Hallmark_2020_via_Enrichr	LUM,CADM1,DKK1,P3H1,COL1A2,SFRP4,COL1A1,MGP,VIM,MXRA5,MYL9,PFN2,PRSS2,LRP1,TAGLN,COL12A1,SERPINE1,SERPINE2,SFRP1,DPYSL3,ABI3BP,SPOCK1,CCN2,MEST,CCN1,GADD45B,FZD8,GADD45A,FERMT2,SLC6A8,SDC1,SNAI2,SPARC,OXTR,ENO2,MYLK,GJA1,LGALS1,ANPEP,SERPINH1,FUCA1,JUN,IL15,TNFRSF12A,MAGEE1,VEGFC,FN1,EMP3,RHOB,VEGFA,CRLF1,COL3A1,MMP14,GAS1,ID2,CALU,FOXC2,ELN,SDC4,TNFRSF11B,AREG,THY1,TIMP3,QSOX1,TIMP1,CAP2,IL32,ADAM12,BGN,COL4A1,COL4A2,FMOD,CD44,LRRC15,ECM1,ECM2,FSTL1,CAPG,FSTL3,COL11A1,CD59,TGFB1,PDGFRB,APLP1,PRRX1,TPM4,TFPI2,WNT5A,TPM2,VCAM1,CXCL12,COL5A2,PLOD1,COL5A1,FAP,FAS,COL5A3,TGFBI,PMP22,SCG2,PPIB,COL16A1,TNC,FBLN2,PLOD3,PVR,FBLN1,PLOD2,LOXL1,LOXL2,FBLN5,CDH6,COMP,NT5E,BASP1,CDH2,GPC1,FLNA,SLIT2,TPM1,MSX1,SLIT3,SPP1,IGFBP2,POSTN,IGFBP4,IGFBP3,INHBA,GEM,LOX,CDH11,COL6A3,COL6A2,MATN2,FBN1,FBN2,MATN3,COPA,NOTCH2,NTM,HTRA1,FGF2,SAT1,TGM2,EFEMP2,GLIPR1,RGS4,CALD1,PMEPA1,EDIL3,ITGA5,MMP1,MMP2,BDNF,GPX7,MMP3,ITGA2,TGFBR3,ACTA2,MFAP5,VCAN,DAB2,IL6,BMP1,COL7A1,MCM7,CXCL8,NNMT,LAMC1,TNFAIP3,CXCL1,LAMC2,NID2,CXCL6,PDLIM4,DST,PCOLCE,PLAUR,DCN,PTHLH,SNTB1,GREM1,COL8A2,PCOLCE2,PTX3,ITGB1,LAMA3,WIPF1,ITGB5,LAMA2,ITGB3,LAMA1,THBS1,THBS2,SGCG,SGCD,SGCB,ITGAV,COLGALT1,CTHRC1	Established MSigDB Hallmark gene set: Epithelial Mesenchymal Transition.	200
hallmark_unfolded_protein_response	Hallmark unfolded protein response	stress	MSigDB_Hallmark_2020_via_Enrichr	IMP3,ZBTB17,YIF1A,ERN1,CNOT6,DKC1,MTHFD2,PSAT1,CNOT2,CNOT4,PREB,TARS1,DCP1A,NHP2,ATF3,ATP6V0D1,GEMIN4,NOLC1,PARN,SLC1A4,SDAD1,HSP90B1,KHSRP,EXOSC10,TATDN2,EXOSC5,IARS1,EXOSC9,KIF5B,CHAC1,BANF1,EXOSC4,EXOSC2,EXOSC1,TTC37,IGFBP1,NOP14,TSPYL2,XBP1,WFS1,EDEM1,NABP1,SLC30A5,LSM1,EEF2,EIF2S1,LSM4,PDIA6,PDIA5,ARFGAP1,EIF4G1,SRPRB,HYOU1,ATF6,ATF4,EIF4EBP1,POP4,SRPRA,IFIT1,RRP9,EDC4,BAG3,SEC31A,RPS14,HSPA9,FUS,HSPA5,ASNS,EIF2AK3,WIPI1,TUBB2A,VEGFA,SLC7A5,DNAJC3,ALDH18A1,CALR,EXOC2,SHC1,CKS1B,STC2,SSR1,DNAJB9,EIF4E,NPM1,NFYB,DDX10,YWHAZ,SPCS3,SPCS1,XPOT,DDIT4,DNAJA4,KDELR3,DCP2,NOP56,EIF4A3,CEBPB,EIF4A2,H2AX,EIF4A1,SEC11A,ERO1A,CEBPG,FKBP14,GOSR2,CXXC1,DCTN1,HERPUD1,SERP1,MTREX,CCL2,NFYA,PAIP1	Established MSigDB Hallmark gene set: Unfolded Protein Response.	113
immediate_early_stress	Immediate-early, AP-1, and stress response	stress	curated_analysis_set	FOS,FOSB,FOSL1,FOSL2,JUN,JUNB,JUND,EGR1,EGR2,EGR3,ATF3,NR4A1,NR4A2,NR4A3,DUSP1,DUSP2,DUSP5,DUSP8,KLF2,KLF4,KLF6,ZFP36,CYR61,HSPB8,HSPA1A,HSPA1B,DNAJB1	Flags stress/immediate-early activation that may be biological, dissociation-related, or both.	27
endothelial_no_angiogenesis	Endothelial, NO/cGMP, and angiogenesis	vascular	curated_analysis_set	VWF,PECAM1,CDH5,KDR,FLT1,FLT4,ENG,PLAT,NOS3,NOSTRIN,GUCY1A1,GUCY1B1,GUCY1A2,GUCY1B2,GUCY1A3,GUCY1B3,PRKG1,PDE5A,EDN1,EDNRA,EDNRB,VEGFA,VEGFB,PGF,ANGPT1,ANGPT2,TEK,EFNB2,CA4,KIT,IGF1	Holds vascular identity, angiogenic support, and erection-relevant NO/cGMP pathway genes.	31
hallmark_angiogenesis	Hallmark angiogenesis	vascular	MSigDB_Hallmark_2020_via_Enrichr	POSTN,JAG1,LUM,JAG2,KCNJ8,PRG2,VAV2,VEGFA,PTK2,TNFRSF21,VCAN,COL3A1,COL5A2,SLCO2A1,FGFR1,S100A4,PF4,APP,NRP1,LPL,STC1,FSTL1,PDGFA,CXCL6,LRPAP1,SERPINA5,VTN,THBD,CCND2,APOH,MSX1,TIMP1,ITGAV,SPP1,PGLYRP1,OLR1	Established MSigDB Hallmark gene set: Angiogenesis.	36
